                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                   FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo
4300000542     OPTICA VISTALEA                                          13,19        104,31         0,00               117,50
4300000543     MURUZABAL JAIME SHEILA E IRENE                            0,00         25,17         0,00                25,17
4300000546     RIGEL VISION S.L                                        786,97      3.271,83         0,00             4.058,80
4300000551     MªJOSE MESEGUER MUÑOZ                                     8,95        248,78         0,00               257,73
4300000555     EVA LOPEZ PARRILLA                                        0,00         10,29         0,00                10,29
4300000556     OVEJERO VISION SL                                       129,59      1.346,64         0,00             1.476,23
4300000557     OPTICA ARGENTE S.L                                        0,00         59,89         0,00                59,89
4300000568     OLEK VISION SLU                                         129,79      1.013,08         0,00             1.142,87
4300000571     MARCOS ARIAZA ZABALLOS                                    0,00         11,25         0,00                11,25
4300000580     BEATRIZ CANO CASTAÑER                                   140,84      1.645,86         0,00             1.786,70
4300000585     MAIKHARETAILSL                                            0,00         25,17         0,00                25,17
4300000999     CLIENTES VARIOS OPTICA 44 21                              0,00        312,99       312,99                 0,00
4300001425     JOSE VICENTE TOMAS GARCIA                                12,12        354,76         0,00               366,88
4600           ANTICIPOS DE REMUNERACIONES                               0,00      5.028,50     7.039,90            -2.011,40
4600000000     ANTICIPOS DE REMUNERACIONES                               0,00      5.028,50     7.039,90            -2.011,40
4650           REMUNERACIONES PENDIENTES DE PAGO                        -0,47     13.596,93    16.542,17            -2.945,71
4650000000     REMUNERACIONES PENDIENTES DE PAGO                        -0,47     13.596,93    16.542,17            -2.945,71
4700           HACIENDA PÚBLICA, DEUDORA POR IVA                     4.432,07      1.955,23         0,00             6.387,30
4700000000     HACIENDA PÚBLICA, DEUDORA POR IVA                         0,00      1.955,23         0,00             1.955,23
4700000099     HACIENDA PÚBLICA, IVA A DEVOLVER                      4.432,07          0,00         0,00             4.432,07
4720           HACIENDA PÚBLICA, IVA SOPORTADO                           0,00     15.097,99    12.990,53             2.107,46
4720000005     IVA SOPORTADO 5%                                          0,00         39,23        31,36                 7,87
4720000010     IVA SOPORTADO 10%                                         0,00      5.054,02     4.521,85               532,17
4720000021     IVA SOPORTADO 21%                                         0,00     10.004,74     8.437,32             1.567,42
4730           HACIENDA PÚBLICA, RETENCIONES Y PAGOS A CUENTA        1.223,98          0,00         0,00             1.223,98

                                SUMA PARCIAL.......               -73.243,99     351.328,65   248.798,14           29.286,52



BALANCE DE SUMAS Y SALDOS                                                                                          Página 3
                                                                  BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                      FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                              Saldo Inicial        Debe        Haber                Saldo

                              SUMA ANTERIOR.......                  -73.243,99     351.328,65   248.798,14           29.286,52

4730000000     HACIENDA PÚBLICA, RETENCIONES Y PAGOS A CUENTA         1.223,98           0,00         0,00             1.223,98
4745           CRÉDITO POR PÉRDIDAS A COMPENSAR DEL EJERCICIO..       4.233,14           0,00         0,00             4.233,14
4745000008     CDTO PDAS A COMP EJER 2024                             4.233,14           0,00         0,00             4.233,14
4750           HACIENDA PÚBLICA, ACREEDORA POR IVA                   -2.399,71           0,00     4.475,29            -6.875,00
4750000000     HACIENDA PÚBLICA, ACREEDORA POR IVA                   -1.205,10           0,00     4.475,29            -5.680,39
4750000019     APZO IVA 3T 2024                                      -1.194,61           0,00         0,00            -1.194,61
4751           HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PR        -3.397,06       5.203,82     5.146,03            -3.339,27
4751000000     HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PRA       -2.028,82       3.208,46     2.637,55            -1.457,91
4751000002     RETENCIONES ALQUILER                                  -1.368,24       1.995,36     2.508,48            -1.881,36
4752           HACIENDA PÚBLICA, ACREEDORA POR IMPUESTO SOBR         -6.965,09           0,00         0,00            -6.965,09
4752000004     APZO IMP SOCIEDADES 2023                              -6.965,09           0,00         0,00            -6.965,09
4760           ORGANISMOS DE LA SEGURIDAD SOCIAL, ACREEDORES           -824,80       3.373,87     2.549,07                 0,00
4760000000     ORGANISMOS DE LA SEGURIDAD SOCIAL, ACREEDORES           -824,80       3.373,87     2.549,07                 0,00
4770           HACIENDA PÚBLICA, IVA REPERCUTIDO                          0,00      15.164,20    21.435,33            -6.271,13
4770000000     HACIENDA PÚBLICA, IVA REPERCUTIDO                          0,00           0,00         0,00                 0,00
4770000010     IVA RERCUTIDO 10%                                          0,00       7.873,83    12.304,69            -4.430,86
4770000021     IVA REPERCUTIDO 21%                                        0,00       6.715,37     8.443,78            -1.728,41
4770000088     H.P. IVA REPERCUTIDO PARA INV. SUJETO PASIVO               0,00           0,00         1,10                -1,10
4770000099     H.P. IVA REPERCUTIDO PARA ADQ. INTRACOMUNITARIAS           0,00         423,80       494,65               -70,85
4770000144     IVA REPERCUTIDO 1,4%                                       0,00          59,89        72,90               -13,01
4770000522     IVA REPECUTIDO R.E. 5,2%                                   0,00          91,31       118,21               -26,90
4790           PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES           288,28           0,00         0,00               288,28
4790000000     PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES           288,28           0,00         0,00               288,28
5201           DEUDAS A CORTO PLAZO POR CRÉDITO DISPUESTO           -46.168,25           0,00         0,00           -46.168,25
5201000001     BCO SABADELL CTA 0001638565                          -46.168,25           0,00         0,00           -46.168,25
5510           CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES         -8.888,86           0,00         0,00            -8.888,86
5510000001     CTA SOCIOS AURELIO                                    -4.444,43           0,00         0,00            -4.444,43
5510000003     APORT.SOCIOS PEPE                                     -4.444,43           0,00         0,00            -4.444,43
5550           PARTIDAS PENDIENTES DE APLICACIÓN                     -2.260,68           0,00         0,00            -2.260,68
5550000000     PARTIDAS PENDIENTES DE APLICACIÓN                     -2.260,68           0,00         0,00            -2.260,68
5700           CAJA, EUROS                                                0,00      82.231,45    65.107,63            17.123,82
5700000003     DIARIO AUX. TESORERIA                                      0,00      82.231,45    65.107,63            17.123,82
5720           BANCOS E INSTITUCIONES DE CRÉDITO C/C VISTA, EUR     138.403,04           0,00    74.867,66            63.535,38
5720000099     DIARIO AUX BANCOS                                    138.403,04           0,00    74.867,66            63.535,38
6000           COMPRAS DE MERCADERÍAS                                     0,00      57.387,53         0,00            57.387,53
6000000000     COMPRAS DE MERCADERÍAS                                     0,00         293,47         0,00               293,47
6000000001     COMPRAS                                                    0,00      57.094,06         0,00            57.094,06
6080           DEVOLUCIONES DE COMPRAS DE MERCADERÍAS                     0,00           0,00     3.688,71            -3.688,71
6080000000     DEVOLUCIONES DE COMPRAS DE MERCADERÍAS                     0,00           0,00     3.688,71            -3.688,71
6210           ARRENDAMIENTOS Y CÁNONES                                   0,00      28.967,96         0,00            28.967,96
6210000000     ARRENDAMIENTOS Y CÁNONES                                   0,00      15.765,44         0,00            15.765,44
6210000001     ALQUILERES GUILLEM DE CASTRO 44                            0,00       6.002,52         0,00             6.002,52
6210000004     ALQUILER PASEO ARAGON 74B                                  0,00       7.200,00         0,00             7.200,00
6230           SERVICIOS DE PROFESIONALES INDEPENDIENTES                  0,00       6.496,84         0,00             6.496,84
6230000000     SERVICIOS DE PROFESIONALES INDEPENDIENTES                  0,00       2.225,27         0,00             2.225,27
6230000001     SERVICIOS PROFESIONALES                                    0,00          43,57         0,00                43,57
6230000003     FISCAL                                                     0,00       4.228,00         0,00             4.228,00
6240           TRANSPORTES                                                0,00       3.208,01         0,00             3.208,01
6240000000     TRANSPORTES                                                0,00         282,01         0,00               282,01
6240000001     MENSAJERIA                                                 0,00       2.926,00         0,00             2.926,00
6280           SUMINISTROS                                                0,00       4.512,06         0,00             4.512,06
6280000000     SUMINISTROS                                                0,00         995,28         0,00               995,28
6280000001     TELEFONO                                                   0,00       1.714,31         0,00             1.714,31
6280000003     LUZ                                                        0,00       1.802,47         0,00             1.802,47
6290           OTROS SERVICIOS                                            0,00         622,05         0,00               622,05
6290000000     OTROS SERVICIOS                                            0,00         547,07         0,00               547,07
6290000001     OTROS GASTOS                                               0,00          74,98         0,00                74,98
6400           SUELDOS Y SALARIOS                                         0,00      26.451,99         0,00            26.451,99
6400000000     SUELDOS Y SALARIOS                                         0,00      26.451,99         0,00            26.451,99
6420           SEGURIDAD SOCIAL A CARGO DE LA EMPRESA                     0,00       2.301,99         0,00             2.301,99
6420000000     SEGURIDAD SOCIAL A CARGO DE LA EMPRESA                     0,00       2.301,99         0,00             2.301,99
6810           AMORTIZACIÓN DEL INMOVILIZADO MATERIAL                     0,00       2.069,76         0,00             2.069,76
6810000000     AMORTIZACIÓN DEL INMOVILIZADO MATERIAL                     0,00         278,01         0,00               278,01
6810000001     AMORT.INMOV.MATERIAL                                       0,00       1.791,75         0,00             1.791,75
7000           VENTAS DE MERCADERÍAS                                      0,00           0,00   163.480,62          -163.480,62
7000000000     VENTAS DE MERCADERÍAS                                      0,00           0,00    69.583,20           -69.583,20
7000000001     INGRESOS                                                   0,00           0,00    93.897,42           -93.897,42
7080           DEVOLUCIONES DE VENTAS DE MERCADERÍAS                      0,00         480,00       251,70               228,30
7080000000     DEVOLUCIONES DE VENTAS DE MERCADERÍAS                      0,00         480,00       251,70               228,30

                                    SUMA TOTAL.......                      0,00    589.800,18   589.800,18                0,00




BALANCE DE SUMAS Y SALDOS                                                                                            Página 4

