                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo
4100000106     INGENIERIA DE SISTEMAS, SL ASETEG                    0,00        121,00       121,00                0,00
4100000107     DE LAGE LANDEN INTERNACIONAL B.V.               -2.107,53     12.429,73    10.322,20                0,00
4100000109     COPIFORMES, SL                                       0,00         38,72        38,72                0,00
4100000110     VENTURI DIGITAL INVESTMENT, SL                     -72,60        313,71       241,11                0,00
4100000113     SDAD ESTALAT CORREOS Y TELEGARFOS, SA                0,00      2.830,81     2.830,81                0,00
4100000115     VALFIRE SISTEMAS, SL                                 0,00         54,33        54,33                0,00
4100000117     LAZO IMPRESORES, SL                                  0,00        201,28       201,28                0,00
4100000118     LAZO IMPRESORES, SL                                  0,00         26,62        26,62                0,00
4100000119     ARCE MIÑANA, LUIS                                    0,00        706,04       706,04                0,00
4100000120     ELECTRONICS STORE, SRLS                              0,00        238,99       238,99                0,00
4100000121     DISPUBLIC SERVICIOS DE PUBLICIDAD, SL                0,00        554,18       554,18                0,00
4100000122     SANITAS                                              0,00      5.066,42     5.066,42                0,00
4100000123     INTEGRAL SERVICIOS PUZOL, SL                         0,00      3.630,00     3.630,00                0,00
4100000124     SANTERFOUD 1025, SL                                  0,00        379,00       379,00                0,00
4100000125     WINBITS, SLU                                         0,00         37,40        37,40                0,00
4100000126     VALERI CARRASQUEL, MARLIN                            0,00         68,99        68,99                0,00
4100000127     LAZO IMPRESORES, SL                                  0,00         34,85        34,85                0,00
4300           CLIENTES (EUROS)                                28.086,63    460.599,07   488.685,70                0,00
4300000018     OPTICA DE CASTRO                                    11,37        121,89       133,26                0,00
4300000021     MAYOR CRISTINA                                      22,99         31,70        54,69                0,00
4300000033     OPTICA MAR ARGUDO                                   13,07        271,53       284,60                0,00
4300000040     MAR ARGUDO OPTICA                                   28,68          0,00        28,68                0,00
4300000041     TERESA GONZALEZ MORET                              379,94      3.891,95     4.271,89                0,00
4300000042     DIRVOP, SL                                         454,78        589,56     1.044,34                0,00
4300000043     GARCIA CONTELL-PONS, CB                              0,00      1.482,11     1.482,11                0,00
4300000050     DEVIS LLORET, Mª ISABEL                             82,29      1.062,25     1.144,54                0,00
4300000051     PASCUAL COTANDA, ANA                                23,60        437,07       460,67                0,00
4300000052     RIBELLES LERGA, AMADEO                               0,00        141,41       141,41                0,00
4300000058     CATALA ESCRIVA, LAURA                                0,00        316,54       316,54                0,00
4300000062     SDA COOP. COPTIVAL ZAS VISION                        0,00      1.291,71     1.291,71                0,00
4300000068     GIMENO ZARAGOZA, ANGELA                              0,00          4,72         4,72                0,00
4300000069     OPTICA ALCOCER, CB                                   0,00         15,00        15,00                0,00
4300000071     OPTICAS COMENGE, SL                                  0,00         36,54        36,54                0,00
4300000077     FERNANDEZ-VICENTI, EMMA                              0,00        542,63       542,63                0,00
4300000079     MARTINEZ CALDERON, PALOMA                           52,76        268,51       321,27                0,00
4300000087     CLERIGUES BALTASER, CARMEN                           0,00        164,92       164,92                0,00
4300000093     OPTICA LES ALFABEGUES, C.B.                         21,78          6,05        27,83                0,00
4300000095     REVIRIEGO AMOR, IVAN                               313,18      1.744,30     2.057,48                0,00
4300000096     OPTICA LA POBLA, SL                                 15,85        156,22       172,07                0,00
4300000097     ESTEREO-VISION, SL                                   0,00         52,39        52,39                0,00
4300000098     OPTICA LES ALFABEGUES, CB                           11,37         18,27        29,64                0,00
4300000099     CLIENTES VARIOS OPTICA 44                            0,00     70.465,74    70.465,74                0,00
4300000100     PEIRO CONEJOS, JULIO ENRIQUE                        56,99        210,54       267,53                0,00
4300000102     BAIXAULI RAGA, MARIA                                 0,00        169,77       169,77                0,00
4300000104     MARTINEZ ESTELLES, SL                                0,00        166,66       166,66                0,00
4300000106     OPTICA VIRGEN DE LUJAN, SL                           0,00         42,47        42,47                0,00
4300000120     FEDERICA ROQUET-JALMAR CARQUEFEDERICA               26,62      5.161,50     5.188,12                0,00
4300000121     BARELLES PASTOR, FRANCISCA                          30,25        571,55       601,80                0,00
4300000132     GRUPO OPTICO PARRILLA LLORENTE                      20,33        166,37       186,70                0,00
4300000146     GAVINETES ESP.DE LEVANTE, SL                        18,88        275,64       294,52                0,00
4300000156     GEROPCLE, SL                                        52,94        324,53       377,47                0,00
4300000160     AMALTEA VISION, S.L.                               832,37      5.658,24     6.490,61                0,00
4300000163     NOVA OPTICA, SL                                     16,09         10,04        26,13                0,00
4300000191     OPTICA DUANE, SL                                     0,00        275,39       275,39                0,00
4300000200     HONGUERO ESTRADA, Mª MERCEDES                        0,00        130,62       130,62                0,00
4300000217     VAPA PHARMAINVERS S.L                               57,11        816,27       873,38                0,00
4300000228     CARL ZEISS VISION ESPAÑA SL                         27,10        371,47       398,57                0,00
4300000234     PUIG MARI EMILIANO                                  25,41         82,28       107,69                0,00
4300000239     LOPEZ HERNANDEZ EVA MARIA                            0,00         28,92        28,92                0,00

                               SUMA PARCIAL.......           -91.198,54     739.436,89   648.238,35                0,00


BALANCE DE SUMAS Y SALDOS                                                                                     Página 2
                                                           BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                       Saldo Inicial        Debe        Haber                Saldo

                              SUMA ANTERIOR.......           -91.198,54     739.436,89   648.238,35                0,00

4300000246     OPTICA CAMPANAR, SL                                  0,00        297,91       297,91                0,00
4300000248     TENA PERALES, RAUL                                   0,00        156,68       156,68                0,00
4300000260     BURGUET OPTICA                                       0,00        757,52       757,52                0,00
4300000282     VISUALTORRENT S.L                                    0,00         12,10        12,10                0,00
4300000283     CASAVISION, SL                                      49,79          0,00        49,79                0,00
4300000285     MORA VALENCIA, MATILDE                              18,38         48,71        67,09                0,00
4300000288     CASANA VISION, SLU                                   0,00        263,79       263,79                0,00
4300000290     OPTICA AB ZAF                                        0,00         14,40        14,40                0,00
4300000291     OVEJERO VISION, SL                                   0,00         73,99        73,99                0,00
4300000292     DOS MIRADAS OE                                       0,00        565,70       565,70                0,00
4300000293     OLEK VISION, SLU                                     0,00        540,88       540,88                0,00
4300000296     C.O PAIPORTA                                         0,00         26,14        26,14                0,00
4300000307     PRIMERA OPTICOS LOZANO                              50,82         25,77        76,59                0,00
4300000318     ORTOVISION CENTRAL, SL                              17,67        220,35       238,02                0,00
4300000323     ASUN OLIVER OPTICAS, SLU                             5,93         70,06        75,99                0,00
4300000328     FERNANDO GOMEZ SAN BERNARDO                          6,17        497,20       503,37                0,00
4300000329     SOLOOPTICA MARMOLISTA, SL                            0,00          7,74         7,74                0,00
4300000330     RIDEL VISION, SL                                     0,00        103,21       103,21                0,00
4300000342     SANCHEZ CABRERA OPTICA, S.L.                         0,00          9,92         9,92                0,00
4300000343     RAFAEL MELGOSO PONZ                                  0,00        225,72       225,72                0,00
4300000345     RELUXVISION SLU                                      0,00        386,08       386,08                0,00
4300000364     OPTICA MASERES, S.L.U.                               0,00         12,10        12,10                0,00
4300000375     PAULA RODRIGUEZ ANEIROS                            163,21      2.546,70     2.709,91                0,00
4300000380     BELMAR APARICIO, FRANCISCO                         263,98      3.340,21     3.604,19                0,00
4300000381     OPTICA DEL PENEDES, S.L                              5,45        275,50       280,95                0,00
4300000390     CABRERA GRAU, BEATRIZ                                0,00         26,38        26,38                0,00
4300000392     DE DIOS BERMELL, AMPARO                            106,54      1.451,86     1.558,40                0,00
4300000393     SERV.OPT.E.HURTADO, SL                              33,40        263,49       296,89                0,00
4300000394     SANTAMARIA BALZA, CARMEN                           828,25     11.501,93    12.330,18                0,00
4300000395     ALAIN AFFLELOU OPTICO, SA                            0,00        182,83       182,83                0,00
4300000408     NOVA VISION TORRENT,S.L                            445,37      4.213,23     4.658,60                0,00
4300000411     PORCAR IZQUIERDO, ESTEBAN                           12,10         48,40        60,50                0,00
4300000424     LOPEZ CRUZ, HUMILDAD                                21,83          0,00        21,83                0,00
4300000442     GAFASONLINE S.L                                    104,00        313,83       417,83                0,00
4300000453     OPTICA VALTERNA C.B                                 45,46        316,34       361,80                0,00
4300000460     RAUL TENA PERALES                                   22,56        103,81       126,37                0,00
4300000462     R.PERALES,S.L.                                      40,54        261,12       301,66                0,00
4300000463     LAURA ALONSO GRANELL                                 0,00        129,83       129,83                0,00
4300000467     ARENA OPTICA 16 S.L                                268,60        305,77       574,37                0,00
4300000468     SOLBERCEO S.L                                        0,00         42,60        42,60                0,00
4300000473     OPTIQUE AUDREY                                       0,00         48,04        48,04                0,00
4300000475     CENTRO OPTICO Y AUDITIVO SILMA                     148,60        129,22       277,82                0,00
