                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: VISUALENS LABS, SL                                                                               FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2025 al 31/12/2025


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial       Debe       Haber                Saldo
4790           PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES             80,96         0,00        0,00                80,96
4790000000     PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES             80,96         0,00        0,00                80,96
5700           CAJA, EUROS                                                 0,00         0,00      199,36              -199,36
5700000003     DIARIO AUX TESORERIA                                        0,00         0,00      199,36              -199,36
5720           BANCOS E INSTITUCIONES DE CRÉDITO C/C VISTA, EUR       56.031,89     3.879,26    3.633,99            56.277,16
5720000002     BANCO SABADELL CTA 1831885                              2.472,32         0,00        0,00             2.472,32
5720000099     DIARIO AUX BANCO                                       53.559,57     3.879,26    3.633,99            53.804,84
6000           COMPRAS DE MERCADERÍAS                                      0,00    17.895,89        0,00            17.895,89
6000000000     COMPRAS DE MERCADERÍAS                                      0,00    17.895,89        0,00            17.895,89
6230           SERVICIOS DE PROFESIONALES INDEPENDIENTES                   0,00        37,87        0,00                37,87
6230000000     SERVICIOS DE PROFESIONALES INDEPENDIENTES                   0,00        37,87        0,00                37,87
6280           SUMINISTROS                                                 0,00       154,84        0,00               154,84
6280000000     SUMINISTROS                                                 0,00       154,84        0,00               154,84
6400           SUELDOS Y SALARIOS                                          0,00     1.600,00        0,00             1.600,00
6400000000     SUELDOS Y SALARIOS                                          0,00     1.600,00        0,00             1.600,00
7000           VENTAS DE MERCADERÍAS                                       0,00         0,00   22.876,85           -22.876,85
7000000000     VENTAS DE MERCADERÍAS                                       0,00         0,00   22.876,85           -22.876,85
7080           DEVOLUCIONES DE VENTAS DE MERCADERÍAS                       0,00     4.092,80        0,00             4.092,80
7080000000     DEVOLUCIONES DE VENTAS DE MERCADERÍAS                       0,00     4.092,80        0,00             4.092,80

                                    SUMA TOTAL.......                      0,00    60.463,95   60.463,95                0,00




BALANCE DE SUMAS Y SALDOS                                                                                          Página 2

